"filename", "language", "Dart", "Markdown", "JSON", "YAML", "Firebase Rules", "HTML", "Properties", "Gradle", "XML", "comment", "blank", "total"
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\data\repositories\shared_habit_repository_impl.dart", "Dart", 136, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26, 169
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\data\repositories\user_search_repository.dart", "Dart", 59, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 81
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\domain\entities\friend.dart", "Dart", 50, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 56
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\domain\entities\shared_habit.dart", "Dart", 57, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 61
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\domain\repositories\friend_repository.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 33
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\domain\repositories\shared_habit_repository.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 28
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\presentation\providers\social_providers.dart", "Dart", 67, 0, 0, 0, 0, 0, 0, 0, 0, 21, 25, 113
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\presentation\screens\social_screen.dart", "Dart", 279, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31, 311
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\presentation\widgets\add_friend_dialog.dart", "Dart", 155, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 175
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\presentation\widgets\friend_list_item.dart", "Dart", 45, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 54
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\presentation\widgets\friend_request_card.dart", "Dart", 86, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 93
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\presentation\widgets\shared_habit_card.dart", "Dart", 107, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 114
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\statistics\presentation\screens\statistics_screen.dart", "Dart", 461, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31, 500
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\firebase_options.dart", "Dart", 65, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 74
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\generated\intl\messages_all.dart", "Dart", 46, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 66
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\generated\intl\messages_en.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 26
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\generated\l10n.dart", "Dart", 60, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 83
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\l10n\app_en.arb", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 4, 72
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\l10n\app_localizations.dart", "Dart", 119, 0, 0, 0, 0, 0, 0, 0, 0, 324, 81, 524
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\l10n\app_localizations_en.dart", "Dart", 135, 0, 0, 0, 0, 0, 0, 0, 0, 3, 68, 206
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\l10n\app_localizations_tr.dart", "Dart", 135, 0, 0, 0, 0, 0, 0, 0, 0, 3, 68, 206
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\l10n\app_tr.arb", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 68
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\main.dart", "Dart", 64, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 90
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\shared\models\result.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 35
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\shared\widgets\custom_button.dart", "Dart", 64, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 73
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\shared\widgets\custom_text_field.dart", "Dart", 93, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 103
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\shared\widgets\error_widget.dart", "Dart", 111, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 120
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\shared\widgets\loading_indicator.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 64
